DATE,BRALORSGPNOSTSAM
2004-01-01,99.2140800534823
2004-02-01,99.4907679386447
2004-03-01,99.7730281714901
2004-04-01,100.042635807714
2004-05-01,100.280338864234
2004-06-01,100.469334249864
2004-07-01,100.600574116573
2004-08-01,100.668851437585
2004-09-01,100.672728840241
2004-10-01,100.618690750562
2004-11-01,100.519106197029
2004-12-01,100.394142831132
2005-01-01,100.276748350976
2005-02-01,100.195594826165
2005-03-01,100.157328701512
2005-04-01,100.126071053865
2005-05-01,100.054403766022
2005-06-01,99.9133322523936
2005-07-01,99.7246379178919
2005-08-01,99.5330852253751
2005-09-01,99.3818714040443
2005-10-01,99.2881073649546
2005-11-01,99.2514801542457
2005-12-01,99.2586131760161
2006-01-01,99.2831504569613
2006-02-01,99.2985053022035
2006-03-01,99.289055048151
2006-04-01,99.2616975531804
2006-05-01,99.2339015677956
2006-06-01,99.2229365531161
2006-07-01,99.2350335971727
2006-08-01,99.2718735355146
2006-09-01,99.3352197017779
2006-10-01,99.4295827748142
2006-11-01,99.5593929818802
2006-12-01,99.7237999311227
2007-01-01,99.9087909089347
2007-02-01,100.094824965299
2007-03-01,100.262677912275
2007-04-01,100.398913903017
2007-05-01,100.497215260023
2007-06-01,100.561773417447
2007-07-01,100.61320570759
2007-08-01,100.677290087812
2007-09-01,100.774627366516
2007-10-01,100.909388344649
2007-11-01,101.077689984476
2007-12-01,101.273101982868
2008-01-01,101.489572179681
2008-02-01,101.717503825447
2008-03-01,101.93821881945
2008-04-01,102.117502757573
2008-05-01,102.207305673402
2008-06-01,102.150243549572
2008-07-01,101.890355884536
2008-08-01,101.385691443693
2008-09-01,100.635390920419
2008-10-01,99.7242786493947
2008-11-01,98.77483398099
2008-12-01,97.9097065014768
2009-01-01,97.215949074454
2009-02-01,96.7523774749982
2009-03-01,96.5445084192035
2009-04-01,96.562849857096
2009-05-01,96.7573513696084
2009-06-01,97.0754148128054
2009-07-01,97.4670658371288
2009-08-01,97.8912636259749
2009-09-01,98.316607079765
2009-10-01,98.7193994380095
2009-11-01,99.0826313466598
2009-12-01,99.3962918049583
2010-01-01,99.6602470917588
2010-02-01,99.8780667119341
2010-03-01,100.054356110405
2010-04-01,100.195356288023
2010-05-01,100.307119899437
2010-06-01,100.396266638192
2010-07-01,100.472898917321
2010-08-01,100.546887648439
2010-09-01,100.62521858659
2010-10-01,100.709704677468
2010-11-01,100.798811154934
2010-12-01,100.889209818106
2011-01-01,100.977186266007
2011-02-01,101.056786759204
2011-03-01,101.11837559612
2011-04-01,101.148042415759
2011-05-01,101.131835114873
2011-06-01,101.062530498465
2011-07-01,100.949954885214
2011-08-01,100.810330296359
2011-09-01,100.659102585823
2011-10-01,100.506094746434
2011-11-01,100.358765712253
2011-12-01,100.225987541151
2012-01-01,100.12181206858
2012-02-01,100.061906735233
2012-03-01,100.058353453824
2012-04-01,100.111691672788
2012-05-01,100.214284869876
2012-06-01,100.350001298603
2012-07-01,100.490763295158
2012-08-01,100.607735709638
2012-09-01,100.682444314218
2012-10-01,100.719901536933
2012-11-01,100.739747314932
2012-12-01,100.770527000853
2013-01-01,100.845700827773
2013-02-01,100.992196965451
2013-03-01,101.216256742099
2013-04-01,101.484642066531
2013-05-01,101.749192318733
2013-06-01,101.96833153438
2013-07-01,102.128990652534
2013-08-01,102.233671908981
2013-09-01,102.292193863099
2013-10-01,102.317936322949
2013-11-01,102.320744275991
2013-12-01,102.302669438603
2014-01-01,102.255837905099
2014-02-01,102.172124083845
2014-03-01,102.055338939778
2014-04-01,101.92963445554
2014-05-01,101.828666916925
2014-06-01,101.778855421797
2014-07-01,101.781179463478
2014-08-01,101.819706777471
2014-09-01,101.866774046827
2014-10-01,101.88594940225
2014-11-01,101.839577383673
2014-12-01,101.698664505683
2015-01-01,101.457791064887
2015-02-01,101.125089292423
2015-03-01,100.719603413942
2015-04-01,100.275426279947
2015-05-01,99.8299101312168
2015-06-01,99.4145525084606
2015-07-01,99.0458480546552
2015-08-01,98.7310028037727
2015-09-01,98.4703253370346
2015-10-01,98.2557538422815
2015-11-01,98.077910875816
2015-12-01,97.9298989511043
2016-01-01,97.8084896615792
2016-02-01,97.7122921963784
2016-03-01,97.6379991496376
2016-04-01,97.5747919745248
2016-05-01,97.5114022170188
2016-06-01,97.4423652891123
2016-07-01,97.3742622843388
2016-08-01,97.3226561000331
2016-09-01,97.3088857263166
2016-10-01,97.3555917541406
2016-11-01,97.4808481170601
2016-12-01,97.6878584596482
2017-01-01,97.9489142505248
2017-02-01,98.2252974258071
2017-03-01,98.4830743790696
2017-04-01,98.7075613534891
2017-05-01,98.8962225644853
2017-06-01,99.0538688159982
2017-07-01,99.1903404249482
2017-08-01,99.3162987583172
2017-09-01,99.4404620881273
2017-10-01,99.5675238754738
2017-11-01,99.6989716028707
2017-12-01,99.8336295343664
2018-01-01,99.967823269467
2018-02-01,100.097971453723
2018-03-01,100.223151224766
2018-04-01,100.347899683948
2018-05-01,100.477974129916
2018-06-01,100.616110323302
2018-07-01,100.757370416884
2018-08-01,100.893757544554
2018-09-01,101.018568424002
2018-10-01,101.131062378464
2018-11-01,101.23377038818
2018-12-01,101.330680147157
