DATE,CHNLORSGPNOSTSAM
2004-01-01,99.8686576576362
2004-02-01,99.905394322275
2004-03-01,99.9402033115545
2004-04-01,99.9624656054451
2004-05-01,99.9723545170041
2004-06-01,99.9778067400702
2004-07-01,99.9837707399479
2004-08-01,99.9888019563926
2004-09-01,99.9892586731157
2004-10-01,99.9834675211602
2004-11-01,99.9693149784976
2004-12-01,99.9488774813219
2005-01-01,99.9258396804506
2005-02-01,99.9056701824431
2005-03-01,99.8996350404396
2005-04-01,99.9057825972878
2005-05-01,99.9215240302104
2005-06-01,99.9500447008004
2005-07-01,99.9929481427466
2005-08-01,100.04385559356
2005-09-01,100.094741138243
2005-10-01,100.139924874604
2005-11-01,100.174066260489
2005-12-01,100.197203988589
2006-01-01,100.215872293508
2006-02-01,100.242497765399
2006-03-01,100.260983501765
2006-04-01,100.273931683055
2006-05-01,100.284246604604
2006-06-01,100.296886237059
2006-07-01,100.318075469813
2006-08-01,100.355526288862
2006-09-01,100.414292990082
2006-10-01,100.496560526962
2006-11-01,100.599688427593
2006-12-01,100.716305816764
2007-01-01,100.837100000972
2007-02-01,100.947396207174
2007-03-01,101.056422723841
2007-04-01,101.166705099492
2007-05-01,101.276440454844
2007-06-01,101.384245666891
2007-07-01,101.488168202582
2007-08-01,101.588537082134
2007-09-01,101.68137427361
2007-10-01,101.756925159295
2007-11-01,101.804684567206
2007-12-01,101.813181993274
2008-01-01,101.771668078326
2008-02-01,101.6689420876
2008-03-01,101.505399065297
2008-04-01,101.275719648089
2008-05-01,100.976732568657
2008-06-01,100.608674222245
2008-07-01,100.178529292265
2008-08-01,99.7054142164867
2008-09-01,99.2190306641157
2008-10-01,98.7547309452439
2008-11-01,98.3546497437398
2008-12-01,98.0563615939259
2009-01-01,97.8808034341417
2009-02-01,97.8384454112682
2009-03-01,97.9177542114374
2009-04-01,98.0872950224733
2009-05-01,98.3182137157876
2009-06-01,98.5792571553113
2009-07-01,98.8426381211998
2009-08-01,99.0921904677546
2009-09-01,99.3176827102776
2009-10-01,99.5114682845023
2009-11-01,99.6697951711969
2009-12-01,99.7908992473237
2010-01-01,99.8767931140282
2010-02-01,99.9285527816393
2010-03-01,99.9565456846984
2010-04-01,99.9659214770224
2010-05-01,99.962876107095
2010-06-01,99.9578459753091
2010-07-01,99.9650260964725
2010-08-01,99.9931567766164
2010-09-01,100.045678055704
2010-10-01,100.124383915585
2010-11-01,100.227362130323
2010-12-01,100.348353014547
2011-01-01,100.479666107626
2011-02-01,100.608662870304
2011-03-01,100.727150658113
2011-04-01,100.829270298251
2011-05-01,100.910117990117
2011-06-01,100.967497352579
2011-07-01,100.99951083789
2011-08-01,101.006931783726
2011-09-01,100.991905873902
2011-10-01,100.957340206945
2011-11-01,100.907549790527
2011-12-01,100.847201696647
2012-01-01,100.780296944398
2012-02-01,100.711612827102
2012-03-01,100.644534162214
2012-04-01,100.579932229963
2012-05-01,100.520583941891
2012-06-01,100.467729318101
2012-07-01,100.422445331445
2012-08-01,100.386485343383
2012-09-01,100.361020531731
2012-10-01,100.345492369189
2012-11-01,100.338792308427
2012-12-01,100.339254990865
2013-01-01,100.345455413832
2013-02-01,100.357318540174
2013-03-01,100.374727190861
2013-04-01,100.397581478183
2013-05-01,100.42533425954
2013-06-01,100.457206248797
2013-07-01,100.491885613712
2013-08-01,100.526206523754
2013-09-01,100.55626203582
2013-10-01,100.580219785297
2013-11-01,100.596546165966
2013-12-01,100.605051662558
2014-01-01,100.607083564974
2014-02-01,100.604005934971
2014-03-01,100.596183115159
2014-04-01,100.582359682646
2014-05-01,100.562093202044
2014-06-01,100.53532882999
2014-07-01,100.502214066955
2014-08-01,100.462808870331
2014-09-01,100.418751653074
2014-10-01,100.369644155873
2014-11-01,100.316189386072
2014-12-01,100.259414964381
2015-01-01,100.199321552468
2015-02-01,100.136986907873
2015-03-01,100.074271251329
2015-04-01,100.013343295071
2015-05-01,99.9550491344857
2015-06-01,99.8993673224098
2015-07-01,99.8457809045309
2015-08-01,99.7953717207221
2015-09-01,99.7485277965608
2015-10-01,99.7052283230771
2015-11-01,99.665483493549
2015-12-01,99.6287216734787
2016-01-01,99.5947064176764
2016-02-01,99.5636647741066
2016-03-01,99.5360589825824
2016-04-01,99.511824160635
2016-05-01,99.4915616872403
2016-06-01,99.4759848412328
2016-07-01,99.465587239696
2016-08-01,99.4606945362771
2016-09-01,99.4615462890699
2016-10-01,99.4687463789842
2016-11-01,99.4826995104924
2016-12-01,99.5033158180826
2017-01-01,99.5300625859244
2017-02-01,99.5615022658047
2017-03-01,99.5955290196415
2017-04-01,99.6294629019707
2017-05-01,99.661751249011
2017-06-01,99.6911008701065
2017-07-01,99.7160745084597
2017-08-01,99.7368892366745
2017-09-01,99.7541887618742
2017-10-01,99.7684871474729
2017-11-01,99.7803596438113
2017-12-01,99.7903392399781
2018-01-01,99.7983375607337
2018-02-01,99.8037016437383
2018-03-01,99.8057348513489
2018-04-01,99.8042605115405
2018-05-01,99.7985149578829
2018-06-01,99.7885063831729
2018-07-01,99.7753202693318
2018-08-01,99.7604556500678
2018-09-01,99.7454685443652
2018-10-01,99.7322448877589
2018-11-01,99.7228461751789
2018-12-01,99.7192446301696
